Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
SMART EQ fortwo convertible,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KMBXV00.0ED2,small car,10,112,91,102,10,Elite
SMART EQ fortwo convertible,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KMBXV00.0ED2,small car,10,112,91,102,10,Elite
SMART EQ fortwo coupe,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KMBXV00.0ED1,small car,10,124,94,108,10,Elite
SMART EQ fortwo coupe,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KMBXV00.0ED1,small car,10,124,94,108,10,Elite
SUBARU Crosstrek Hybrid,2,4,CVT,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,KFJXT02.0EVC,small SUV,7,36/99,35/80,35/90,10,Elite
SUBARU Crosstrek Hybrid,2,4,CVT,4WD,Gasoline/Electricity,FA,T3B50,Federal Tier 3 Bin 50,KFJXT02.0EVC,small SUV,6,36/99,35/80,35/90,10,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFJXJ02.5BUY,midsize car,7,28,38,32,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFJXJ02.5BUY,station wagon,7,28,36,31,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KFJXJ02.5BUY,midsize car,6,28,38,32,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KFJXJ02.5BUY,station wagon,6,28,36,31,7,Yes
SUBARU Impreza 4-Door Sport,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFJXJ02.5BUY,midsize car,7,27,36,30,7,Yes
SUBARU Impreza 4-Door Sport,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KFJXJ02.5BUY,midsize car,6,27,36,30,7,Yes
SUBARU Impreza 5-Door Sport,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KFJXJ02.5BUY,station wagon,7,27,35,30,7,Yes
SUBARU Impreza 5-Door Sport,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KFJXJ02.5BUY,station wagon,6,27,35,30,7,Yes
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Long Range Performance,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L23,midsize car,10,120,112,116,10,Elite
